memberID,firstname,lastname,phone,email,date_of_birth,member_country,member_city,member_address,joined_date
1,Arlen,Cowpe,6705170582,acowpe0@4shared.com,1997-12-20,Mexico,,40 Reindahl Junction,2024-08-13
2,Emily,Bailess,5762907232,ebailess0@sina.com.cn,2000-12-20,Canada,,3465 Vera Park,2024-11-18
3,Say,Milton,4461544577,smilton1@miibeian.gov.cn,1987-08-16,China,,7738 Mcguire Hill,2024-04-28
4,Evelin,Webben,6283376614,,1984-03-25,United States,,04060 Veith Center,2024-08-01
5,Ellissa,McIlvoray,1507231858,emcilvoray3@nba.com,1993-05-02,Australia,,487 Sutherland Avenue,2024-11-07
6,Sigfried,Kedge,7591583166,skedge4@nps.gov,1988-06-11,Mexico,,48085 Oneill Plaza,2024-09-19
7,Jesse,Smiley,3451522756,jsmiley5@ezinearticles.com,1984-03-13,China,,434 Kings Plaza,2024-08-28
8,Jess,Bamling,2814663600,jbamling6@squidoo.com,1966-10-19,Canada,,456 Graedel Hill,2025-01-14
9,Tallia,Wathey,8151350274,twathey7@guardian.co.uk,2001-10-31,Canada,,4166 Browning Way,2024-12-24
10,Shirline,Vittery,2593431658,svittery8@cbc.ca,1970-06-05,Canada,,6341 Nova Park,2024-12-14
11,Barry,,7462356249,bfyrth9@nasa.gov,1989-01-03,United States,,4542 Comanche Junction,2024-10-28
12,Marchall,Pilling,5383977929,mpillinga@homestead.com,1984-10-25,Canada,,140 Upham Pass,2024-09-08
13,Sandie,Botly,2166242029,sbotlyb@php.net,1993-07-31,China,,99670 Mitchell Trail,2024-02-26
14,Merilyn,Tettersell,5211121127,,,Canada,,75 Spaight Road,2024-07-23
15,Blaire,Andras,5678962234,bandrasd@dedecms.com,1969-01-21,United States,,27061 Bellgrove Hill,2024-06-29
16,Windy,Blesli,5426852226,wbleslie@ocn.ne.jp,1971-05-25,China,,0672 Badeau Lane,
17,Lonna,Biasotti,6711614500,,1971-10-06,China,,4692 Sachs Lane,2024-11-23
18,Petronilla,Lessmare,6094902480,plessmareg@cdbaby.com,1994-11-29,United States,,0 Lakewood Park,2024-10-21
19,Barbi,Bonelle,6757684194,bbonelleh@bizjournals.com,1991-09-29,Australia,,90 Hanover Place,2024-11-24
20,Petr,Philipet,4841374554,pphilipeti@usatoday.com,1984-09-16,China,,7913 Namekagon Terrace,2025-01-17
21,Malissa,McKeurton,6322978426,mmckeurtonj@blinklist.com,2001-03-01,Australia,,,2024-04-11
22,Kipp,Kewzick,6511786782,kkewzickk@imageshack.us,1967-06-21,Canada,,,2024-11-27
23,Marni,Pietri,5975042071,mpietril@nymag.com,1992-08-13,China,,136 Fuller Terrace,2024-05-30
24,Eugenie,Jorry,3692391829,ejorrym@whitehouse.gov,1978-08-13,Canada,,314 Dottie Pass,2024-05-17
25,Shirleen,Mossman,6764345363,smossmann@mtv.com,1986-04-07,China,,80730 Birchwood Street,2024-04-05
26,Dev,Ashbey,2774595024,dashbeyo@nydailynews.com,1973-01-14,Canada,,3796 Eagle Crest Drive,2024-05-27
27,Dud,Clink,2698873218,dclinkp@tiny.cc,1989-08-31,Australia,,842 Warbler Pass,2024-04-26
28,Matilda,Brewerton,3969256318,mbrewertonq@independent.co.uk,1985-04-06,China,,9 Buhler Way,2024-11-03
29,Laetitia,Ferrari,4786168709,lferrarir@archive.org,1986-11-19,Australia,,599 Mifflin Crossing,2024-08-20
30,Cord,Libreros,4715686623,clibreross@lulu.com,1978-12-24,Australia,,2529 Holy Cross Pass,2025-01-14
31,Alain,Goshawke,2597519181,agoshawket@comsenz.com,1988-07-29,United States,,03 Fairview Road,2024-01-22
32,Kerrin,Halton,3001635989,khaltonu@abc.net.au,1978-01-06,United States,,99 Iowa Parkway,2024-01-19
33,Melvyn,Nobriga,2796318853,mnobrigav@nhs.uk,1972-09-29,Canada,,25221 Steensland Trail,2024-01-23
34,Phyllis,Wellings,1409798083,pwellingsw@marketwatch.com,1980-11-19,China,,22918 Eggendart Road,2025-02-15
35,Kayla,Morecomb,6443986484,kmorecombx@wikispaces.com,1988-11-27,China,,8033 Kings Park,2024-03-26
36,Eileen,,5002928900,epegdeny@sbwire.com,1972-05-06,Australia,,,2024-01-07
37,Artur,Roaf,2505375013,aroafz@shinystat.com,,United States,,72 Manufacturers Junction,2025-02-13
38,Marja,Antrack,1893205381,mantrack10@wikispaces.com,2000-08-26,Canada,,66633 Kennedy Place,2024-12-16
39,Martina,Humbert,1855902978,,1983-08-06,Canada,,4583 Anderson Alley,2024-02-17
40,Carlee,Hitchens,5076954368,chitchens12@google.it,2000-11-20,United States,,31 Esker Road,2024-11-23
41,Liane,Parchment,7019113083,lparchment13@ebay.com,1992-07-22,United States,,609 Victoria Court,2025-02-26
42,Richart,Dummett,3225830191,rdummett14@springer.com,1967-04-04,Canada,,3987 Spenser Drive,2024-07-26
43,Jacobo,,5678150020,jfifield15@home.pl,1966-09-04,United States,,,2024-05-03
44,Maryanne,McNalley,4076177446,mmcnalley16@netscape.com,1985-09-19,China,,59963 Chinook Point,2024-11-21
45,Nissy,Bartolomeazzi,8175133158,nbartolomeazzi17@weebly.com,1974-10-04,Canada,,16834 Meadow Ridge Way,2024-03-31
46,Avigdor,Pichmann,4162485881,apichmann18@tuttocitta.it,1994-03-23,Mexico,,64 Sundown Point,2024-06-05
